firstTS
Multiple Reaction Coordinates:
eV, 4
0, B, TS1, C1
1, B, TS1, C2
2, B, TS1, C3
3, B, TS1, C4
Energy:
4
Direct_ER_6,  1.1917998813800068, 2.347836623973194 , 1.6685652428778894
Direct_ER_8,  0.7922197327299045, 2.1435039038434525, 0.9752358197556532
Direct_Lang_6,1.1917998813800068, 2.573354044706093 , 1.617752681740285
Direct_Lang_8,0.7922197327299045, 1.999124240109495 , 0.9796947077575169
