Diagram_Name
Reaction Coordinate:
eV, A, B, TS1, C, TS2, D, E
Energy:
4
Mech1 Triplet, 0.6490301999999701,    0.36710019999998167, 1.613110200000051, 1.1786002000000053,    2.356680200000028, -0.761889799999949, -0.6201347999999598
Mech1 Singlet, 0.9747701999999663,    0.6874301999999943,  1.2192201999999952, 0.6470802000000049, 2.0594701999999643, -0.6447798000000375, -0.5036248000000114
Mech2 Triplet, -0.027819799999974748, -0.31324979999999414, 0.6790402000000313, 0.5209902000000284,   1.730420200000026, -1.4777897999999823, -1.3020547999999508
Mech2 Singlet, 0.29056020000007265,   0.008990199999971082, 0.562030199999981,  -0.008369799999968563, 1.4217802000000574, -1.3598747999999841, -1.1898747999999841
